pl_name,hostname,sy_dist,pl_orbper,pl_rade,pl_bmasse,pl_eqt,pl_orbeccen,pl_orbincl,st_teff,st_rad,st_mass,disc_year,discoverymethod,disc_facility
"HD 184010 b","HD 184010",60.79930000,286.60000000000,,98.52680617,,0.000000,,4971.00,4.860000,1.350000,2022,"Radial Velocity","Okayama Astrophysical Observatory"
"Kepler-1748 b","Kepler-1748",1083.28000000,5.82352018400,2.71275017,,,,,5774.00,0.864000,0.916000,2021,"Transit","Kepler"
"Kepler-1327 b","Kepler-1327",678.06900000,14.88801098000,1.80000000,,,,,5885.00,1.030000,1.020000,2016,"Transit","Kepler"
"Kepler-214 c","Kepler-214",1208.44000000,28.77980000000,2.13000000,,,,,6169.00,1.352000,,2014,"Transit","Kepler"
"KOI-4777.01","KOI-4777",172.24500000,0.41200000000,0.51000000,99.20000000,1180.00,0.000000,87.00000,3515.00,0.400000,0.410000,2022,"Transit","Kepler"
"Kepler-322 b","Kepler-322",400.48000000,1.65388800000,1.01000000,,,,,5388.00,0.890000,,2014,"Transit","Kepler"
"TOI-1685 b","TOI-1685",37.61530000,0.66913923000,1.42100000,3.07000000,1000.00,,,3470.00,0.462000,0.466000,2021,"Transit","Transiting Exoplanet Survey Satellite (TESS)"
"TOI-1749 b","TOI-1749",99.55610000,2.38839000000,1.39000000,57.00000000,831.00,0.140000,86.40000,3985.00,0.550000,0.580000,2021,"Transit","Transiting Exoplanet Survey Satellite (TESS)"
"KOI-94 c","KOI-94",477.05200000,10.42364800000,4.32000000,15.60000000,1012.00,0.430000,88.36000,6182.00,1.520000,1.277000,2013,"Transit","Kepler"
"TOI-1194 b","TOI-1194",149.66700000,2.31064460000,8.71664516,120.00000000,1264.29,0.000000,,5394.00,0.960800,0.983500,2023,"Transit","Transiting Exoplanet Survey Satellite (TESS)"
"HATS-18 b","HATS-18",624.36800000,0.83784000000,14.89676100,629.14448500,2069.48,,85.29000,5600.00,1.020000,1.037000,2016,"Transit","Multiple Observatories"
"Kepler-804 b","Kepler-804",649.65000000,14.37457351000,1.94000000,,,,,5817.00,1.050000,1.010000,2016,"Transit","Kepler"
"OGLE-2012-BLG-0026L b","OGLE-2012-BLG-0026L",4019.00000000,,,46.10000000,,,,,,1.060000,2012,"Microlensing","OGLE"
"Kepler-359 d","Kepler-359",1443.21000000,77.09569100000,4.01000000,,,,,6248.00,1.086000,,2014,"Transit","Kepler"
"K2-210 b","K2-210",176.51000000,0.57023000000,0.86000000,,,,89.20000,5500.00,0.890000,,2018,"Transit","K2"
"Kepler-463 b","Kepler-463",394.80400000,8.98101683300,3.05000000,,,,,5661.00,0.900000,0.870000,2016,"Transit","Kepler"
"Kepler-100 c","Kepler-100",304.64500000,12.81590000000,2.20000000,7.05000000,,,,5825.00,1.490000,1.080000,2014,"Transit","Kepler"
"Kepler-1294 b","Kepler-1294",1855.70000000,115.68622580000,3.19000000,,,,,5776.00,0.970000,0.990000,2016,"Transit","Kepler"
"Kepler-1783 b","Kepler-1783",264.07800000,8.27744007100,1.31946731,,,,,5129.00,1.781000,0.887000,2021,"Transit","Kepler"
"Kepler-749 b","Kepler-749",721.02700000,17.31716585000,3.10000000,,,,,5009.00,0.750000,0.790000,2016,"Transit","Kepler"
"Kepler-781 b","Kepler-781",1064.47000000,13.21407320000,2.89000000,,,,,5162.00,0.780000,0.810000,2016,"Transit","Kepler"
"Kepler-1749 b","Kepler-1749",268.20000000,14.53409958000,1.61301783,,,,,3957.00,0.553000,0.551000,2021,"Transit","Kepler"
"K2-243 c","K2-243",266.86400000,24.94598000000,2.01000000,,801.00,,,6570.00,1.390000,1.290000,2018,"Transit","K2"
"HD 219828 c","HD 219828",73.11400000,4789.87297000000,,5102.41724598,,0.811000,122.81600,,,1.040000,2016,"Radial Velocity","Multiple Facilities"
"Kepler-1113 b","Kepler-1113",1073.88000000,42.30049540000,2.81000000,,,,,5931.00,1.170000,1.120000,2016,"Transit","Kepler"
"Kepler-87 b","Kepler-87",1232.90000000,114.73635000000,13.49000000,324.20000000,478.00,0.036000,89.27400,5600.00,1.820000,1.100000,2013,"Transit","Kepler"
"Kepler-345 c","Kepler-345",,9.38742700000,1.20000000,,,,,4504.00,0.623000,,2014,"Transit","Kepler"
"Kepler-1177 b","Kepler-1177",1299.97000000,106.24754700000,1.90000000,,,,,5712.00,0.970000,0.980000,2016,"Transit","Kepler"
"Kepler-304 d","Kepler-304",434.68400000,9.65347100000,2.75000000,,,,,4731.00,0.687000,,2014,"Transit","Kepler"
